I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-34, -14, 19, 24, -26, 2, 19, 9, -14, 9, 14, 24, 
-34, -14, 19, 24, -26, 2, 19, 9, -14, 9, 14, 24, 
-34, -19, 14, 26, -24, -2, 19, 9, -14, 9, 14, 24, 
-29, -19, 9, 24, -19, -4, 19, 9, -19, 9, 9, 24, 
-29, -19, 9, 24, -19, -4, 19, 4, -19, 9, 9, 19, 
-24, -24, 0, 24, -12, -12, 14, 4, -24, 4, 9, 19, 
-24, -24, 0, 24, -12, -12, 14, 0, -24, 4, 4, 14, 
-24, -24, 0, 24, -12, -12, 14, 0, -29, 4, 4, 14, 
-29, -29, 0, 29, -14, -14, 19, 0, -29, 4, 9, 14, 
-29, -29, 0, 29, -14, -14, 19, 0, -29, 0, 9, 14, 
-34, -34, 0, 34, -17, -17, 19, 4, -29, 0, 9, 14, 
-34, -34, 0, 34, -17, -17, 24, 9, -29, 4, 9, 14, 
-34, -34, 0, 34, -17, -17, 24, 9, -24, 4, 9, 14, 
-34, -34, 0, 34, -17, -17, 24, 9, -24, 4, 9, 9, 
-34, -34, 0, 34, -17, -17, 24, 9, -24, 4, 9, 9, 
-34, -29, 4, 31, -19, -12, 29, 14, -19, 9, 9, 9, 
-34, -29, 4, 31, -19, -12, 29, 14, -19, 9, 4, 9, 
-39, -29, 9, 34, -24, -9, 29, 14, -19, 9, 9, 9, 
-34, -24, 9, 29, -21, -7, 29, 19, -19, 9, 9, 14, 
-34, -24, 9, 29, -21, -7, 29, 19, -24, 9, 9, 14, 
-34, -19, 14, 26, -24, -2, 29, 19, -24, 9, 9, 14, 
-34, -19, 14, 26, -24, -2, 34, 14, -24, 9, 9, 14, 
-34, -19, 14, 26, -24, -2, 34, 14, -24, 14, 9, 14, 
-29, -19, 9, 24, -19, -4, 34, 9, -24, 14, 9, 14, 
-34, -24, 9, 29, -21, -7, 34, 9, -24, 14, 9, 9, 
-34, -24, 9, 29, -21, -7, 34, 4, -29, 14, 9, 9, 
-39, -34, 4, 36, -21, -14, 34, 4, -29, 14, 9, 9, 
-39, -34, 4, 36, -21, -14, 34, 4, -34, 9, 9, 9, 
-39, -39, 0, 39, -19, -19, 34, 4, -34, 4, 9, 9, 
-39, -39, 0, 39, -19, -19, 34, 4, -34, 4, 9, 4, 
-39, -43, -4, 41, -17, -24, 29, 0, -34, 4, 9, 4, 
-39, -48, -9, 43, -14, -29, 29, 0, -39, 4, 4, 0, 
-39, -48, -9, 43, -14, -29, 29, -9, -39, 4, 4, 0, 
-39, -48, -9, 43, -14, -29, 29, -9, -43, 0, 4, 0, 
-39, -53, -14, 46, -12, -34, 29, -9, -43, 0, 4, 0, 
-39, -53, -14, 46, -12, -34, 34, 0, -48, 0, 4, 0, 
-43, -53, -9, 48, -17, -31, 34, 4, -48, 4, 4, 0, 
-43, -48, -4, 46, -19, -26, 34, 9, -48, 4, 4, 0, 
-43, -48, -4, 46, -19, -26, 39, 9, -48, 4, 4, 4, 
-48, -43, 4, 46, -26, -19, 39, 14, -48, 4, 9, 4, 
-48, -48, 0, 48, -24, -24, 39, 14, -53, 0, 9, 4, 
-48, -48, 0, 48, -24, -24, 43, 19, -53, 0, 9, 4, 
-48, -48, 0, 48, -24, -24, 43, 19, -53, 4, 9, 9, 
-48, -43, 4, 46, -26, -19, 43, 24, -53, 4, 14, 9, 
-48, -43, 4, 46, -26, -19, 48, 29, -48, 9, 14, 14, 
-48, -43, 4, 46, -26, -19, 48, 29, -48, 9, 14, 14, 
-53, -48, 4, 51, -29, -21, 48, 29, -53, 9, 14, 14, 
-58, -48, 9, 53, -34, -19, 48, 24, -58, 4, 9, 9, 
-53, -53, 0, 53, -26, -26, 43, 19, -63, 4, 9, 4, 
-48, -53, -4, 51, -21, -29, 39, 14, -68, 0, 4, 4, 
-48, -53, -4, 51, -21, -29, 39, 9, -68, -9, 4, 0, 
-43, -53, -9, 48, -17, -31, 34, 4, -73, -9, 0, 0, 
-43, -48, -4, 46, -19, -26, 34, 4, -73, -9, 0, 0, 
-43, -48, -4, 46, -19, -26, 29, 0, -78, -9, 0, 0, 
-43, -43, 0, 43, -21, -21, 29, 0, -78, -9, 0, 0, 
-43, -43, 0, 43, -21, -21, 24, 0, -78, -14, 0, 0, 
-39, -43, -4, 41, -17, -24, 24, 0, -78, -14, 0, 0, 
-39, -43, -4, 41, -17, -24, 24, 0, -82, -9, 0, 0, 
-39, -43, -4, 41, -17, -24, 24, 0, -73, -9, 4, 0, 
-39, -39, 0, 39, -19, -19, 24, 0, -73, 0, 9, 4, 
-43, -39, 4, 41, -24, -17, 29, 4, -68, 4, 14, 9, 
-48, -39, 9, 43, -29, -14, 29, 4, -68, 9, 14, 14, 
